,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,THB100,PHP100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
3 Nov 2025,4.1975,5.5151,4.8414,2.7245,5.2166,2.7508,2.9955,3.2243,54.0035,12.9523,7.1483,13.6287,0.2938,0.0252,111.9169,5.7018,0.5899,3.2243,0.0160,0.1041,2.4024,0.2005,4.7274,114.2799,1.4823,2.9545,0.0889
4 Nov 2025,4.2045,5.5199,4.8406,2.7288,5.1972,2.7462,2.9900,3.2218,54.0852,12.9349,7.1681,13.6064,0.2921,0.0251,112.1080,5.7026,0.5901,3.2218,0.0160,0.1043,2.3947,0.2008,4.7474,114.4861,1.4876,2.9671,0.0891
5 Nov 2025,4.1945,5.4614,4.8189,2.7324,5.1800,2.7233,2.9724,3.2090,53.9513,12.8863,7.1375,13.5569,0.2902,0.0251,111.8444,5.6837,0.5884,3.2090,0.0159,0.1040,2.3716,0.2003,4.7256,114.2107,1.4841,2.9569,0.0887
6 Nov 2025,4.1825,5.4640,4.8128,2.7181,5.1680,2.7236,2.9655,3.2034,53.7932,12.8839,7.1061,13.5216,0.2893,0.0250,111.5170,5.6661,0.5871,3.2034,0.0159,0.1037,2.3683,0.1998,4.7197,113.8870,1.4797,2.9498,0.0882
7 Nov 2025,4.1760,5.4783,4.8185,2.7283,5.1718,2.7029,2.9566,3.2002,53.7137,12.8939,7.0649,13.4849,0.2867,0.0250,111.3496,5.6639,0.5863,3.2002,0.0159,0.1036,2.3469,0.1995,4.7100,113.7069,1.4769,2.9437,0.0883
10 Nov 2025,4.1670,5.4784,4.8148,2.7070,5.1671,2.7142,2.9693,3.1989,53.5900,12.8770,7.0803,13.4380,0.2862,0.0250,111.1096,5.6605,0.5852,3.1989,0.0158,0.1034,2.3446,0.1990,4.6997,113.4557,1.4743,2.9370,0.0880
11 Nov 2025,4.1515,5.4667,4.7975,2.6911,5.1565,2.7105,2.9580,3.1862,53.4031,12.8192,7.0415,13.3986,0.2834,0.0249,110.6919,5.6401,0.5829,3.1862,0.0158,0.1031,2.3429,0.1983,4.6793,113.0398,1.4682,2.9247,0.0878
12 Nov 2025,4.1305,5.4275,4.7821,2.6761,5.1589,2.6945,2.9470,3.1704,53.1514,12.7024,6.9932,13.3053,0.2813,0.0247,110.1320,5.6118,0.5802,3.1704,0.0157,0.1025,2.3348,0.1973,4.6600,112.4573,1.4608,2.9125,0.0875
13 Nov 2025,4.1310,5.4226,4.7878,2.6697,5.1735,2.7089,2.9493,3.1748,53.1650,12.7737,6.9946,13.2855,0.2816,0.0247,110.1483,5.6115,0.5815,3.1748,0.0157,0.1026,2.3365,0.1973,4.6585,112.4816,1.4611,2.9115,0.0875
14 Nov 2025,4.1325,5.4326,4.8096,2.6741,5.2152,2.7035,2.9467,3.1790,53.1905,12.7813,7.0205,13.2677,0.2834,0.0247,110.2000,5.6208,0.5825,3.1790,0.0157,0.1025,2.3497,0.1974,4.6580,112.5255,1.4624,2.9112,0.0876
17 Nov 2025,4.1505,5.4556,4.8142,2.6826,5.2181,2.7049,2.9566,3.1896,53.3950,12.7944,7.0129,13.3183,0.2844,0.0248,110.6830,5.6470,0.5841,3.1896,0.0158,0.1032,2.3502,0.1982,4.6778,113.0095,1.4684,2.9236,0.0881
18 Nov 2025,4.1765,5.4917,4.8416,2.6914,5.2508,2.7060,2.9716,3.2037,53.6849,12.8626,7.0747,13.3785,0.2849,0.0249,111.3674,5.6797,0.5874,3.2037,0.0158,0.1039,2.3595,0.1995,4.7105,113.7236,1.4778,2.9439,0.0888
19 Nov 2025,4.1480,5.4507,4.8050,2.6710,5.1850,2.6894,2.9634,3.1849,53.2529,12.7985,7.0491,13.2842,0.2828,0.0248,110.6104,5.6349,0.5834,3.1849,0.0157,0.1032,2.3362,0.1981,4.6853,112.9445,1.4679,2.9283,0.0880
20 Nov 2025,4.1645,5.4332,4.7950,2.6456,5.1602,2.6992,2.9623,3.1847,53.4912,12.8257,7.0456,13.3332,0.2835,0.0249,111.0445,5.6558,0.5852,3.1847,0.0158,0.1036,2.3352,0.1989,4.6965,113.3969,1.4738,2.9352,0.0879
21 Nov 2025,4.1440,5.4230,4.7807,2.6345,5.1491,2.6716,2.9406,3.1692,53.2360,12.7665,7.0333,13.2265,0.2819,0.0248,110.4949,5.6110,0.5826,3.1692,0.0157,0.1030,2.3179,0.1979,4.6750,112.8233,1.4666,2.9218,0.0874
24 Nov 2025,4.1415,5.4243,4.7694,2.6439,5.1221,2.6758,2.9381,3.1676,53.2132,12.7470,7.0262,13.1577,0.2805,0.0248,110.4282,5.6078,0.5827,3.1676,0.0157,0.1030,2.3219,0.1978,4.6443,112.7675,1.4657,2.9030,0.0870
25 Nov 2025,4.1320,5.4129,4.7592,2.6356,5.1088,2.6666,2.9270,3.1670,53.1344,12.7590,7.0148,13.1346,0.2801,0.0248,110.1690,5.6032,0.5824,3.1670,0.0157,0.1028,2.3154,0.1974,4.6394,112.5089,1.4623,2.8996,0.0866
26 Nov 2025,4.1325,5.4535,4.7898,2.6508,5.1291,2.6865,2.9368,3.1781,53.1299,12.8199,7.0245,13.1886,0.2821,0.0248,110.1794,5.6042,0.5836,3.1781,0.0157,0.1028,2.3516,0.1974,4.6332,112.5225,1.4626,2.8953,0.0864
27 Nov 2025,4.1310,5.4761,4.7928,2.6466,5.1403,2.6984,2.9434,3.1853,53.1171,12.8252,7.0240,13.1745,0.2817,0.0248,110.1394,5.6123,0.5835,3.1853,0.0157,0.1028,2.3660,0.1973,4.6283,112.4816,1.4621,2.8927,0.0866
